series,celebrity,professional,week,dance,dance_style,song,artist,total_score,craig,len,bruno,arlene,alesha,darcey,shirley,motsi,anton,verdict,celeb_dob,celeb_age,celeb_gender,pro_gender,same_sex
1,Natasha Kaplinsky,Brendan Cole,1,Cha-Cha-Cha,Latin,Chain of Fools,Aretha Franklin,27,5.0,7.0,8.0,7.0,,,,,,,1972-09-09,31.0,F,M,False
1,Lesley Garrett,Anton Du Beke,1,Waltz,Ballroom,He Was Beautiful,Cleo Laine,29,6.0,8.0,8.0,7.0,,,,,,,1955-04-10,49.0,F,M,False
1,Christopher Parker,Hanna Karttunen,1,Cha-Cha-Cha,Latin,Lady Marmalade,Labelle,19,4.0,4.0,7.0,4.0,,,,,,,1983-08-24,20.0,M,F,False
1,Jason Wood,Kylie Jones,1,Waltz,Ballroom,Three Times A Lady,Commodores,21,5.0,5.0,6.0,5.0,,,,,,,1972-01-21,32.0,M,F,False
1,Verona Joseph,Paul Killick,1,Cha-Cha-Cha,Latin,Respect,Aretha Franklin,27,7.0,6.0,7.0,7.0,,,,,,,1974-04-23,30.0,F,M,False
1,Claire Sweeney,John Byrnes,1,Waltz,Ballroom,Unchained Melody,The Righteous Brothers,27,7.0,7.0,8.0,5.0,,,,,,,1971-04-17,33.0,F,M,False
1,David Dickinson,Camilla Dallerup,1,Cha-Cha-Cha,Latin,Sex Bomb,Tom Jones,16,2.0,4.0,6.0,4.0,,,,,,,1941-08-16,62.0,M,,False
1,Martin Offiah,Erin Boag,1,Waltz,Ballroom,Come Away With Me,Norah Jones,25,5.0,6.0,7.0,7.0,,,,,,,1965-12-29,38.0,M,F,False
1,Natasha Kaplinsky,Brendan Cole,2,Quickstep,Ballroom,The Lady is a Tramp,Frank Sinatra,31,7.0,8.0,8.0,8.0,,,,,,safe,1972-09-09,31.0,F,M,False
1,Martin Offiah,Erin Boag,2,Rumba,Latin,Hero,Mariah Carey,21,3.0,5.0,7.0,6.0,,,,,,safe,1965-12-29,38.0,M,F,False
1,Christopher Parker,Hanna Karttunen,2,Quickstep,Ballroom,You're the One That I Want,from Grease,23,5.0,6.0,6.0,6.0,,,,,,safe,1983-08-24,20.0,M,F,False
1,Claire Sweeney,John Byrnes,2,Rumba,Latin,Angels,Robbie Williams,26,6.0,6.0,7.0,7.0,,,,,,safe,1971-04-17,33.0,F,M,False
1,Verona Joseph,Paul Killick,2,Quickstep,Ballroom,If My Friends Could See Me Now,from Sweet Charity,24,6.0,6.0,6.0,6.0,,,,,,safe,1974-04-23,30.0,F,M,False
1,Jason Wood,Kylie Jones,2,Rumba,Latin,Leave Right Now,Will Young,19,2.0,5.0,7.0,5.0,,,,,,eliminated,1972-01-21,32.0,M,F,False
1,David Dickinson,Camilla Dallerup,2,Quickstep,Ballroom,Let's Face The Music and Dance,from Follow the Fleet,21,3.0,6.0,6.0,6.0,,,,,,bottom-two,1941-08-16,62.0,M,,False
1,Lesley Garrett,Anton Du Beke,2,Rumba,Latin,You'll Never Find Another Love Like Mine,Lou Rawls,27,6.0,7.0,7.0,7.0,,,,,,safe,1955-04-10,49.0,F,M,False
1,Verona Joseph,Paul Killick,3,Jive,Latin,Proud Mary,Tina Turner,24,6.0,6.0,6.0,6.0,,,,,,safe,1974-04-23,30.0,F,M,False
1,Lesley Garrett,Anton Du Beke,3,Tango,Ballroom,Sensation,Chong Lim,29,7.0,8.0,7.0,7.0,,,,,,safe,1955-04-10,49.0,F,M,False
1,Martin Offiah,Erin Boag,3,Jive,Latin,Great Balls of Fire,Jerry Lee Lewis,21,5.0,5.0,5.0,6.0,,,,,,safe,1965-12-29,38.0,M,F,False
1,David Dickinson,Camilla Dallerup,3,Tango,Ballroom,La Cumparsita,Gerardo Matos Rodríguez,20,4.0,6.0,5.0,5.0,,,,,,eliminated,1941-08-16,62.0,M,,False
1,Christopher Parker,Hanna Karttunen,3,Jive,Latin,Do You Love Me,The Contours,19,5.0,4.0,5.0,5.0,,,,,,safe,1983-08-24,20.0,M,F,False
1,Claire Sweeney,John Byrnes,3,Tango,Ballroom,Roxanne,The Police,34,8.0,9.0,9.0,8.0,,,,,,safe,1971-04-17,33.0,F,M,False
1,Natasha Kaplinsky,Brendan Cole,3,Jive,Latin,"Jump, Jive and Wail",Louis Prima,26,7.0,7.0,5.0,7.0,,,,,,bottom-two,1972-09-09,31.0,F,M,False
1,Claire Sweeney,John Byrnes,4,Paso Doble,Latin,España cañí,Pascual Marquina Narro,31,8.0,8.0,7.0,8.0,,,,,,safe,1971-04-17,33.0,F,M,False
1,Christopher Parker,Hanna Karttunen,4,Foxtrot,Ballroom,Flying Without Wings,Westlife,28,6.0,7.0,8.0,7.0,,,,,,safe,1983-08-24,20.0,M,F,False
1,Verona Joseph,Paul Killick,4,Paso Doble,Latin,Boléro,Maurice Ravel,24,5.0,6.0,6.0,7.0,,,,,,eliminated,1974-04-23,30.0,F,M,False
1,Natasha Kaplinsky,Brendan Cole,4,Foxtrot,Ballroom,The Girl from Ipanema,Antônio Carlos Jobim,35,8.0,9.0,9.0,9.0,,,,,,safe,1972-09-09,31.0,F,M,False
1,Lesley Garrett,Anton Du Beke,4,Paso Doble,Latin,Scott & Fran's Paso Doble,from Strictly Ballroom,30,7.0,7.0,8.0,8.0,,,,,,bottom-two,1955-04-10,49.0,F,M,False
1,Martin Offiah,Erin Boag,4,Foxtrot,Ballroom,Let There Be Love,Nat King Cole,24,6.0,5.0,7.0,6.0,,,,,,safe,1965-12-29,38.0,M,F,False
1,Lesley Garrett,Anton Du Beke,5,Samba,Latin,Mas que Nada,Jorge Ben,27,7.0,6.0,7.0,7.0,,,,,,bottom-two,1955-04-10,49.0,F,M,False
1,Martin Offiah,Erin Boag,5,Samba,Latin,Crickets Sing for Anamaria,Marcos Valle,22,5.0,5.0,6.0,6.0,,,,,,safe,1965-12-29,38.0,M,F,False
1,Christopher Parker,Hanna Karttunen,5,Samba,Latin,Soul Bossa Nova,Quincy Jones,15,3.0,4.0,4.0,4.0,,,,,,safe,1983-08-24,20.0,M,F,False
1,Claire Sweeney,John Byrnes,5,Samba,Latin,Shake Your Bon,"Bon"" — Ricky Martin",32,8.0,8.0,8.0,8.0,,,,,,eliminated,1971-04-17,33.0,F,M,False
1,Natasha Kaplinsky,Brendan Cole,5,Samba,Latin,Love Is in the Air,John Paul Young,37,9.0,10.0,9.0,9.0,,,,,,safe,1972-09-09,31.0,F,M,False
1,Martin Offiah,Erin Boag,6,Quickstep,Ballroom,It Don't Mean a Thing (If It Ain't Got That Swing),Duke Ellington,24,5.0,6.0,6.0,7.0,,,,,,eliminated,1965-12-29,38.0,M,F,False
